,t_wait_for_berthing_h,t_operation_h,t_post_operation_h,t_total_port_stay_h,avg_wait_prev_20_calls_port,avg_operation_prev_20_calls_port,std_wait_prev_20_calls_port,arrivals_same_day_port,arrivals_prev_day_port,arrivals_prev_7d_avg_port,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,rain_sum_prev_1d,precipitation_sum_prev_1d,wind_speed_10m_max_prev_1d,wind_gusts_10m_max_prev_1d,temperature_2m_mean_prev_1d,rain_sum_prev_3d,precipitation_hours_prev_3d,temperature_2m_mean_prev_3d,wind_speed_10m_max_prev_3d,wind_gusts_10m_max_prev_3d,rain_sum_prev_7d,precipitation_hours_prev_7d,temperature_2m_mean_prev_7d,wind_speed_10m_max_prev_7d,wind_gusts_10m_max_prev_7d,arrival_month,arrival_dayofweek,arrival_hour,arrival_is_weekend
t_wait_for_berthing_h,1.0,0.0047834931502312005,0.0072527780236678,0.08521078891333375,0.41629736734116624,0.032485668658117035,0.38538172177272667,0.008103571475915412,0.006258681959460673,0.006065439287604411,-0.037830355542485324,-0.05926841812438073,-0.017458738293373348,0.021796534484808328,0.021796534484808328,0.017901269399688353,0.005309429030218469,-0.02112391359291616,0.022515187431561362,0.017148929748388837,0.017148929748388837,0.003165784204977752,-0.02256361074386655,-0.03789920659682467,0.02168743659089096,0.022460572789411788,-0.03857074351165416,0.006320661892710164,-0.02274929846885069,0.020741523979595073,0.02348204247155698,-0.03956652293758955,0.008341419610264923,-0.02065403441053222,0.013826735048311199,0.0047002379062380095,0.000997045356537489,0.007110247988397069
t_operation_h,0.0047834931502312005,1.0,0.017380694366146032,0.9964452433257937,0.008126709385582638,0.6048675865555565,0.003477813180919353,0.0014411604289208831,0.005118427681135873,0.01298984544336594,0.0016507328641917457,0.004218672643898226,-0.0013429228273382477,-0.0012267379461543943,-0.0012267379461543943,-0.0016384622206166558,-0.013165235374962055,-0.0076554017554197416,0.003041753768655803,-0.0013281258831846303,-0.0013281258831846303,-0.015228804841476212,-0.010200127335006613,0.002749769554886402,-0.0035804241050809683,-0.002956733189551498,0.0028231451443331756,-0.01824581062331113,-0.012726023072775676,-0.0020764072974537293,-0.001025052103053985,0.001318130678487437,-0.016147137959353342,-0.010262776469903367,0.009612592201523657,-0.0007286198833437281,0.0071998322526360395,-0.0022087174193336258
t_post_operation_h,0.0072527780236678,0.017380694366146032,1.0,0.042900129423417206,-0.00250540149104824,0.0005915981053947624,-0.0032444728412912363,0.0266267520583438,0.025557680922731668,0.026944805315607424,-0.003949961120227345,0.0008675122582154012,-0.007021797686462352,-0.0029613083760619266,-0.0029613083760619266,-0.0058271357916969005,-0.0018187222972872428,-0.0009095439360488899,0.0022488348890007492,-0.0030334862468932673,-0.0030334862468932673,0.0008290900088856102,0.0008199766071172134,-0.0030050679724376015,-0.005768957108751112,-0.010882334189186865,-0.00345840276277084,0.0024566185029588623,0.0034413340057602407,-0.009627299104003595,-0.013385522280578084,-0.0022900339341290752,0.001179666096764026,0.0027404093091452936,-0.002672939289173498,0.0020944995065340553,0.0005068568431252754,0.003360506035757474
t_total_port_stay_h,0.08521078891333375,0.9964452433257937,0.042900129423417206,1.0,0.05928191821846571,0.6024236696241417,0.05084179815939231,0.0027513280364241262,0.0064389486034836,0.014523806191616247,-0.001491809675107431,-0.0005353645017799795,-0.002914044940487603,0.000454093155698551,0.000454093155698551,-0.00034017470033581733,-0.012726979086165019,-0.009340220798632082,0.004891923594700815,-2.119651491956723e-05,-2.119651491956723e-05,-0.014887171587318278,-0.01194675385731367,-0.0003806879812011525,-0.001967650300871255,-0.0014125609660475093,-0.0003729003640656181,-0.01759691177292379,-0.014410905806567821,-0.0006427208124800609,0.0005300465569004375,-0.0019220477317267533,-0.015377119242286671,-0.011807739074210975,0.010613520678530702,-0.00029576990853908926,0.007261051867497922,-0.0015442835075762662
avg_wait_prev_20_calls_port,0.41629736734116624,0.008126709385582638,-0.00250540149104824,0.05928191821846571,1.0,0.030451564464665893,0.8857015843470943,0.011670476261216145,0.009387818739584906,0.010596195246846461,-0.06915991456334769,-0.10975210549927204,-0.03130722118525238,0.019168361345274627,0.019168361345274627,0.02900495355280628,0.005450837671482359,-0.04493609336830763,0.04546995501022581,0.035262200337094485,0.035262200337094485,0.007899918475136478,-0.04101773492655534,-0.07024030547804672,0.036978884769262525,0.03939240930058176,-0.07106022429460368,0.009686588603909377,-0.047020196372626694,0.0401766754696985,0.04348716083772785,-0.0733416618602659,0.014745240680681362,-0.041715835931092404,0.026739458998824198,0.0015852760128218396,0.0014759231923687363,0.004997985294939555
avg_operation_prev_20_calls_port,0.032485668658117035,0.6048675865555565,0.0005915981053947624,0.6024236696241417,0.030451564464665893,1.0,0.01773415248601299,-0.006107323806565904,-0.005966470104187936,-0.007249494454069673,0.006130623055567019,0.008494152439204058,0.002601885617397176,-0.004045694694945632,-0.004045694694945632,-0.002128042734583149,-0.012508371070905855,-0.004157799522250697,-0.0001981063593954686,-0.0031855073925047004,-0.0031855073925047004,-0.014859541664167886,-0.0071535265931091906,0.00536283579293631,-0.003457432188738287,-0.0009841234101889895,0.004442787963265954,-0.018567923776431308,-0.010921179197479055,-0.0008133154921439983,-0.0009561933080638028,0.003758495973692433,-0.016859462901170987,-0.008524066606616731,0.010024483887895706,-0.0018068413136641268,-0.00046167145818275577,-0.004250513647698926
std_wait_prev_20_calls_port,0.38538172177272667,0.003477813180919353,-0.0032444728412912363,0.05084179815939231,0.8857015843470943,0.01773415248601299,1.0,0.030501774247690232,0.027367003516200597,0.030253363236717994,-0.075093536175204,-0.12406538988059464,-0.030180463155849317,0.023575698166058368,0.023575698166058368,0.034465683749521074,0.0068863880671062435,-0.05633084823668311,0.053837971430216666,0.04053566735321907,0.04053566735321907,0.009955821783808298,-0.05197391876945447,-0.0770877562574399,0.04741762172417793,0.04995588149609868,-0.07815316706477232,0.013324774353273852,-0.057904503183158124,0.05540308073302865,0.058453221757173,-0.08011263352877408,0.01981999370077578,-0.05307353692416096,0.012350722303144598,0.004489719205264017,0.00330122063371757,0.01010971503416321
arrivals_same_day_port,0.008103571475915412,0.0014411604289208831,0.0266267520583438,0.0027513280364241262,0.011670476261216145,-0.006107323806565904,0.030501774247690232,1.0,0.8867515381589149,0.9275208106493321,-0.0701535929871168,0.0018617889020795394,-0.1257168182445844,-0.05926405033396515,-0.05926405033396515,-0.13933190264981601,-0.08374127707846404,-0.09225707749304961,0.0957383693383837,-0.05545285626856113,-0.05545285626856113,-0.09457937275353752,-0.10354766553047322,-0.07292129503044643,-0.07202303264892956,-0.16322830833429583,-0.0800391219823743,-0.04705060915257775,-0.05642448319139547,-0.08361330901630752,-0.18283132353689288,-0.08228877491101914,-0.020572753679152535,-0.023840954713452624,-0.02065470984222225,-0.06669010553598674,-0.009045382172438396,-0.0827546474125254
arrivals_prev_day_port,0.006258681959460673,0.005118427681135873,0.025557680922731668,0.0064389486034836,0.009387818739584906,-0.005966470104187936,0.027367003516200597,0.8867515381589149,1.0,0.9409529494699818,-0.06721929693811327,0.00490967596682558,-0.12372829127624022,-0.04187447798479238,-0.04187447798479238,-0.12476906689505757,-0.08116582360384533,-0.08152636829397392,0.09289832858614923,-0.05738907970258684,-0.05738907970258684,-0.09273776515433105,-0.0976484658792763,-0.0668786850932552,-0.0772963544378621,-0.16792962981741127,-0.07380576858442273,-0.057341947720628596,-0.06377608453819561,-0.08743077160706957,-0.18723076607559852,-0.07782506348109763,-0.030629382223802702,-0.03193463970916079,-0.019411266615484882,-0.009140596105206785,-0.008190742035451002,-0.04880971727195619
arrivals_prev_7d_avg_port,0.006065439287604411,0.01298984544336594,0.026944805315607424,0.014523806191616247,0.010596195246846461,-0.007249494454069673,0.030253363236717994,0.9275208106493321,0.9409529494699818,1.0,-0.07303229321357195,0.0031164987852127543,-0.13267964196604107,-0.04608074661175641,-0.04608074661175641,-0.13313974790747166,-0.08511111747048063,-0.08651398054146266,0.09806580742859644,-0.047671968077750815,-0.047671968077750815,-0.09059276691297946,-0.09331762184957407,-0.07233358410802812,-0.07201790951807246,-0.17009470160444784,-0.07552649203336942,-0.049329221679978524,-0.05353295971943316,-0.09448427805511884,-0.20331109423401397,-0.07946293643204466,-0.03303563787543362,-0.03586111103100104,-0.019114811430242674,-0.017115726452413,-0.0074111288510451635,-0.020156434368576337
